Igrač,Utakmice,Minuta,Golovi,Asistencije,Žuti kartoni,Crveni kartoni,Udarci na gol,Točna dodavanja,Ocjena
L. Messi,32,2881,25,21,4,0,4.8,82.6,8.71
R. Lewandowski,31,2762,34,4,5,0,4.5,73.1,8.13
K. De Bruyne,32,2800,13,20,3,0,2.8,81.5,7.97
C. Ronaldo,33,2919,31,5,3,0,6.3,85.1,7.82
J. Iličić,21,1673,15,5,1,1,3.1,81.9,7.65
J. Sancho,25,2292,17,16,2,0,1.6,85.1,7.64
T. Werner,33,2809,28,8,4,0,3.6,75.6,7.60
C. Immobile,36,3176,36,9,8,0,3.8,77,7.57
L. Alberto,36,3122,6,15,5,0,2.7,83.5,7.55
A. Gomez,34,2861,7,16,2,0,2.6,85.3,7.55
A. Davies,24,2234,3,5,2,1,0.4,86.5,7.52
Z.Ibrahimović,16,1365,10,5,1,0,3.7,70.9,7.51
M. Reus,18,1502,11,5,1,0,2.5,82.5,7.50
R. Pereira,28,2520,3,2,1,0,0.6,78.9,7.50
S. Gnabry,26,2203,12,10,0,0,3.1,82.3,7.49